check,kind,description,max_abs_error_or_violations,tolerance,passed,k_groups
1,max_abs_error,beta_B == joint coefficient on x2 (FWL),3.885780586188048e-16,1e-10,True,29
2,max_abs_error,beta_A / beta_B == 1 - r12^2,3.9968028886505635e-15,1e-10,True,29
3,violations,sign(beta_A) == sign(beta_B) == sign(beta_C),0.0,0.0,True,29
4,max_abs_error,"corr(e_x2, x1) == 0",4.0519889912762807e-16,1e-10,True,29
5,max_abs_error,"corr(e_y, x1) == 0",1.2978040270761586e-15,1e-10,True,29
6,max_abs_error,beta_C == independently computed sr,4.718447854656915e-16,1e-10,True,29
7,max_abs_error,beta_C / beta_B == sqrt(1 - r12^2),1.5543122344752192e-15,1e-10,True,29
8,max_abs_error,"beta_C^2 == R2_joint - corr(y, x1)^2  (unique variance)",1.0061396160665481e-15,1e-10,True,29
9,violations,abs(beta_A) <= abs(beta_C) <= abs(beta_B),0.0,0.0,True,29
2b,max_abs_error,beta_A == beta_B * (1 - r12^2)  [ratio-free form],3.885780586188048e-16,1e-10,True,29
7b,max_abs_error,beta_C == beta_B * sqrt(1 - r12^2)  [ratio-free form],4.440892098500626e-16,1e-10,True,29
1m,max_abs_error,mirror: beta_B_medl == joint coefficient on x1,1.1102230246251565e-15,1e-10,True,29
2m,max_abs_error,mirror: beta_A_medl / beta_B_medl == 1 - r12^2,1.7763568394002505e-15,1e-10,True,29
7m,max_abs_error,mirror: beta_C_medl / beta_B_medl == sqrt(1 - r12^2),1.6653345369377348e-15,1e-10,True,29
8m,max_abs_error,"mirror: beta_C_medl^2 == R2_joint - corr(y, x2)^2",7.771561172376096e-16,1e-10,True,29
