metric,filter,contrast,n,pearson_r,sign_agreement,median_abs_change,median_rel_change
total_area_norm,llas,NOD.Incline,22,0.6981646084514078,0.9090909090909091,0.000861988304093566,0.08499492272465646
total_area_norm,llas,NREM.BSL.Decline,28,0.8544971538185171,0.9642857142857143,-0.025304397536040968,-0.05467471707071246
total_area_norm,llas,NREM.REC.Decline,28,0.6102599594663444,1.0,-0.06210575773558369,-0.13569141082176683
total_area_norm,llas,NREM.Rebound,28,0.674841764830787,1.0,-0.057683908118051797,-0.11275031181936009
total_area_norm,llas,NREM.Surge,28,0.7351507043007015,0.8928571428571429,-0.03564881381381424,-0.12935864473690528
rate,llas,NOD.Incline,22,0.6320279818047551,0.8636363636363636,0.0015277777777777746,0.11989379084967317
rate,llas,NREM.BSL.Decline,28,0.7284160365454952,0.8928571428571429,0.007864762833854622,-0.01887691252314884
rate,llas,NREM.REC.Decline,28,0.5351981671816372,0.7142857142857143,0.07763888888888937,0.3611627449333731
rate,llas,NREM.Rebound,28,0.632647567153208,0.8928571428571429,0.04101369245273867,0.16749800568529966
rate,llas,NREM.Surge,28,0.6285951061502963,0.8928571428571429,0.03819444444444431,0.19042978090441637
median_median_duration,llas,NOD.Incline,22,0.45480190977557544,0.5909090909090909,0.0,-0.2916666666666668
median_median_duration,llas,NREM.BSL.Decline,28,0.7798196228377857,0.8928571428571429,-0.0015000000000000013,-0.285714285714286
median_median_duration,llas,NREM.REC.Decline,28,0.802941327098278,0.9642857142857143,-0.0020000000000000018,-0.3333333333333336
median_median_duration,llas,NREM.Rebound,28,0.8651632056503683,1.0,-0.003999999999999997,-0.3333333333333329
median_median_duration,llas,NREM.Surge,28,0.8529003697192511,0.8571428571428571,-0.0024999999999999988,-0.41666666666666646
median_area,llas,NOD.Incline,22,0.6619582753478407,0.8181818181818182,-3.75,-0.08637971698113207
median_area,llas,NREM.BSL.Decline,28,0.7930166471220143,0.9642857142857143,-34.0,-0.40190753903165055
median_area,llas,NREM.REC.Decline,28,0.531778898658481,0.9642857142857143,-78.75,-0.470298686954408
median_area,llas,NREM.Rebound,28,0.6344080363501178,1.0,-113.0,-0.4335722317683327
median_area,llas,NREM.Surge,28,0.7603225536810768,0.8571428571428571,-57.25,-0.46172248803827753
median_span,llas,NOD.Incline,22,0.4768258240282957,0.5,0.0,0.0
