Response,Dataset,Set,Model,Main effect,Overlapping - Local
median_duration,LLAS,cond-Early.BSL.NREM,locality_paired,p < 0.001 *** [f²=3.90],p < 0.001 *** [d=1.64] +
median_duration,LLAS,cond-Early.REC.NREM.Match,locality_paired,p < 0.001 *** [f²=3.22],p < 0.001 *** [d=1.07] +
median_duration,LLAS,cond-Early.NOD.Wake,locality_paired,p < 0.001 *** [f²=0.71],p < 0.001 *** [d=1.35] +
median_duration,LLAS,cond-Late.NOD.Wake,locality_paired,p < 0.001 *** [f²=0.73],p < 0.001 *** [d=1.24] +
median_duration,LLAS,cond-Early.REC.NREM,locality_paired,p < 0.001 *** [f²=4.42],p < 0.001 *** [d=1.88] +
median_duration,LLAS,cond-Late.REC.NREM,locality_paired,p < 0.001 *** [f²=3.75],p < 0.001 *** [d=1.46] +
median_span,LLAS,cond-Early.BSL.NREM,locality_paired,p < 0.001 *** [f²=1.36],p < 0.001 *** [d=2.16] +
median_span,LLAS,cond-Early.REC.NREM.Match,locality_paired,p < 0.001 *** [f²=3.23],p < 0.001 *** [d=2.06] +
median_span,LLAS,cond-Early.NOD.Wake,locality_paired,p < 0.001 *** [f²=1.28],p < 0.001 *** [d=1.38] +
median_span,LLAS,cond-Late.NOD.Wake,locality_paired,p < 0.001 *** [f²=2.09],p < 0.001 *** [d=1.50] +
median_span,LLAS,cond-Early.REC.NREM,locality_paired,p < 0.001 *** [f²=1.77],p < 0.001 *** [d=2.27] +
median_span,LLAS,cond-Late.REC.NREM,locality_paired,p < 0.001 *** [f²=3.35],p < 0.001 *** [d=2.44] +
median_area,LLAS,cond-Early.BSL.NREM,locality_paired,p < 0.001 *** [f²=1.77],p < 0.001 *** [d=2.03] +
median_area,LLAS,cond-Early.REC.NREM.Match,locality_paired,p < 0.001 *** [f²=4.75],p < 0.001 *** [d=1.39] +
median_area,LLAS,cond-Early.NOD.Wake,locality_paired,p < 0.001 *** [f²=0.92],p < 0.001 *** [d=1.38] +
median_area,LLAS,cond-Late.NOD.Wake,locality_paired,p < 0.001 *** [f²=1.02],p < 0.001 *** [d=1.59] +
median_area,LLAS,cond-Early.REC.NREM,locality_paired,p < 0.001 *** [f²=3.07],p < 0.001 *** [d=2.27] +
median_area,LLAS,cond-Late.REC.NREM,locality_paired,p < 0.001 *** [f²=3.98],p < 0.001 *** [d=1.96] +
median_duration,LLAS,state-NREM,locality_paired,p < 0.001 *** [f²=2.86],p < 0.001 *** [d=1.30] +
median_duration,LLAS,state-Wake,locality_paired,p < 0.001 *** [f²=5.71],p < 0.001 *** [d=2.03] +
median_span,LLAS,state-NREM,locality_paired,p < 0.001 *** [f²=3.22],p < 0.001 *** [d=2.31] +
median_span,LLAS,state-Wake,locality_paired,p < 0.001 *** [f²=2.95],p < 0.001 *** [d=2.09] +
median_area,LLAS,state-NREM,locality_paired,p < 0.001 *** [f²=4.24],p < 0.001 *** [d=1.75] +
median_area,LLAS,state-Wake,locality_paired,p < 0.001 *** [f²=4.46],p < 0.001 *** [d=2.60] +
