partition,condition,property,x_col,y_col,pooled_rho,ci_lo,ci_hi,p_value,p_bonferroni,sig_bonferroni,i_squared,q_pvalue,k,loo_rho_min,loo_rho_max
All OFFs,NREM,OFF area,area,total_bipolar_inst_log_delta,0.8303538011773375,0.813382650473134,0.8459127239096773,0.0,0.0,True,99.96600106968161,0.0,29,0.823978931556781,0.8331160304233882
All OFFs,NREM,OFF duration,median_duration,max_bipolar_inst_log_delta,0.45567198757579835,0.42423127905912206,0.48601542187481506,0.0,0.0,True,99.9387679136844,0.0,29,0.4464287870657288,0.4636839547250004
All OFFs,NREM,OFF span,span,max_bipolar_inst_log_delta,0.4189244482917287,0.3949218543853619,0.4423555314916483,0.0,0.0,True,99.88749156018247,0.0,29,0.41209733305773305,0.4261072677987802
All OFFs,NREM,Residual MUA,median_trace,max_bipolar_inst_log_delta,-0.3402471976715715,-0.3772693488415417,-0.3021392830088346,0.0,0.0,True,99.94845255775233,0.0,29,-0.34608010829304514,-0.33145883733966275
All OFFs,Wake,OFF area,area,total_bipolar_inst_log_delta,0.6696403586306194,0.648880415581224,0.6894040787167309,0.0,0.0,True,98.53651210668306,0.0,29,0.6651732919931913,0.6730245578770221
All OFFs,Wake,OFF duration,median_duration,max_bipolar_inst_log_delta,0.3187965340979161,0.2889345532088293,0.3480387628623851,0.0,0.0,True,98.16062253989324,0.0,29,0.3129701440204287,0.32581191230633344
All OFFs,Wake,OFF span,span,max_bipolar_inst_log_delta,0.3618373909274297,0.325723006804757,0.3968974378353935,0.0,0.0,True,98.83218162930665,0.0,29,0.35536587472767084,0.3718592462256027
All OFFs,Wake,Residual MUA,median_trace,max_bipolar_inst_log_delta,-0.38525737759620493,-0.4357595303857053,-0.33233703899721023,0.0,0.0,True,99.47946338978355,0.0,29,-0.3963236292634115,-0.3706165336574192
Medium + Large,NREM,OFF area,area,total_bipolar_inst_log_delta,0.8303888830448527,0.8071829798839799,0.851032130131358,0.0,0.0,True,99.95000286811354,0.0,29,0.8242319976594952,0.8340219308918335
Medium + Large,NREM,OFF duration,median_duration,max_bipolar_inst_log_delta,0.549327737206241,0.5176951961093896,0.5794604889281502,0.0,0.0,True,99.87298448451058,0.0,29,0.541040163753703,0.5580300906827906
Medium + Large,NREM,OFF span,span,max_bipolar_inst_log_delta,0.457353693770293,0.4167567792218867,0.49612982657144933,0.0,0.0,True,99.90139087271673,0.0,29,0.45039551145323686,0.4659637716129811
Medium + Large,NREM,Residual MUA,median_trace,max_bipolar_inst_log_delta,-0.4261168654220251,-0.4800202673045804,-0.3690079295660797,0.0,0.0,True,99.94605548240791,0.0,29,-0.4362485368872393,-0.4143254462370317
Medium + Large,Wake,OFF area,area,total_bipolar_inst_log_delta,0.6618752390636788,0.6291957885773644,0.6922187014918375,0.0,0.0,True,94.97981106636011,0.0,29,0.6499187084832383,0.6668186745699015
Medium + Large,Wake,OFF duration,median_duration,max_bipolar_inst_log_delta,0.3617859059285227,0.32145499451460113,0.400806611392754,0.0,0.0,True,92.12225001376417,0.0,29,0.3555583322387442,0.3730683572811075
Medium + Large,Wake,OFF span,span,max_bipolar_inst_log_delta,0.3582696558851849,0.29654841652821234,0.4170104842718255,0.0,0.0,True,96.81307474539027,0.0,29,0.3460146782458168,0.37517678108693725
Medium + Large,Wake,Residual MUA,median_trace,max_bipolar_inst_log_delta,-0.41011887106582867,-0.4754298706996998,-0.3403121090808592,0.0,0.0,True,97.74216887930591,0.0,29,-0.4252637221260936,-0.3953181028271016
Small OFFs,NREM,OFF area,area,total_bipolar_inst_log_delta,0.521141320033665,0.5108874515778467,0.5312469167840845,0.0,0.0,True,99.23508580565338,0.0,29,0.5183152449230534,0.5233600778274684
Small OFFs,NREM,OFF duration,median_duration,max_bipolar_inst_log_delta,0.09411733970200703,0.08044585387994715,0.10775342016016318,0.0,0.0,True,99.21280993990176,0.0,29,0.0881790912813907,0.09694629114226319
Small OFFs,NREM,OFF span,span,max_bipolar_inst_log_delta,0.07647947599949455,0.06343339193037233,0.08949942569635613,0.0,0.0,True,99.13058633510157,0.0,29,0.0740825274678045,0.07856148244378208
Small OFFs,NREM,Residual MUA,median_trace,max_bipolar_inst_log_delta,-0.19457937709738957,-0.22552419829340098,-0.16324233107544578,0.0,0.0,True,99.85771165732909,0.0,29,-0.20015210644747217,-0.18932348396229856
Small OFFs,Wake,OFF area,area,total_bipolar_inst_log_delta,0.5381902826799537,0.5244750358294791,0.5516262965011952,0.0,0.0,True,93.18013662016618,0.0,29,0.5347822796703787,0.5411158128331979
Small OFFs,Wake,OFF duration,median_duration,max_bipolar_inst_log_delta,0.1780428886122561,0.1525196550350194,0.20332878899445783,0.0,0.0,True,96.5372160284091,0.0,29,0.16877845033635727,0.18295440805608312
Small OFFs,Wake,OFF span,span,max_bipolar_inst_log_delta,0.23700705532240463,0.20523030759617383,0.2682846413603434,0.0,0.0,True,97.91677536286313,0.0,29,0.23095583835667777,0.24522307575434546
Small OFFs,Wake,Residual MUA,median_trace,max_bipolar_inst_log_delta,-0.3505762541511983,-0.40263754648125283,-0.2962541916555361,0.0,0.0,True,99.39195045489126,0.0,29,-0.36124499728280457,-0.3350961374427714
