subject,probe,structure_acronym,is_cortex,is_thalamus,is_striatum,is_laminar,flip_supra_infra,notes
CNPIX2-Segundo,imec0,PPC,True,False,False,True,False,
CNPIX2-Segundo,imec0,LP,False,True,False,False,False,
CNPIX2-Segundo,imec0,Po,False,True,False,False,False,
CNPIX2-Segundo,imec0,VPM,False,True,False,False,False,
CNPIX3-Valentino,imec0,mPPC,True,False,False,False,False,
CNPIX3-Valentino,imec0,LP,False,True,False,False,False,
CNPIX3-Valentino,imec0,Po,False,True,False,False,False,
CNPIX3-Valentino,imec0,VPM,False,True,False,False,False,
CNPIX4-Doppio,imec0,mPPC,True,False,False,False,False,
CNPIX4-Doppio,imec0,LP,False,True,False,False,False,
CNPIX4-Doppio,imec0,Po,False,True,False,False,False,
CNPIX4-Doppio,imec0,VPM,False,True,False,False,False,
CNPIX4-Doppio,imec1,M2,True,False,False,False,False,
CNPIX4-Doppio,imec1,MO,True,False,False,False,False,
CNPIX4-Doppio,imec1,PrL,True,False,False,False,False,
CNPIX5-Alessandro,imec0,PPC,True,False,False,False,False,
CNPIX5-Alessandro,imec0,LP,False,True,False,False,False,
CNPIX5-Alessandro,imec0,Po,False,True,False,False,False,
CNPIX5-Alessandro,imec0,VPM,False,True,False,False,False,
CNPIX6-Eugene,imec0,PPC,True,False,False,True,False,
CNPIX6-Eugene,imec0,LP,False,True,False,False,False,
CNPIX6-Eugene,imec0,Po,False,True,False,False,False,
CNPIX6-Eugene,imec0,VPM,False,True,False,False,False,
CNPIX6-Eugene,imec1,EC,True,False,False,False,False,
CNPIX7-Giuseppe,imec0,M2,True,False,False,False,False,Not marked as laminar because of non-normal insertion angle.
CNPIX7-Giuseppe,imec0,PIR,True,False,False,False,False,
CNPIX7-Giuseppe,imec0,VO,True,False,False,False,False,
CNPIX7-Giuseppe,imec1,RSG,True,False,False,False,False,
CNPIX8-Allan,imec0,Cg1,True,False,False,False,False,
CNPIX8-Allan,imec0,IL,True,False,False,False,False,
CNPIX8-Allan,imec0,M2,True,False,False,True,False,
CNPIX8-Allan,imec0,PrL,True,False,False,False,False,
CNPIX9-Luigi,imec0,PPC,True,False,False,True,False,
CNPIX9-Luigi,imec0,CA,False,False,False,False,False,Is this just excluded becuase it's hippocampal?
CNPIX9-Luigi,imec0,DLG,False,True,False,False,False,
CNPIX9-Luigi,imec0,MG,False,True,False,False,False,
CNPIX9-Luigi,imec0,PIL,False,True,False,False,False,
CNPIX10-Charles,imec0,CLA,True,False,False,False,False,May classify as non-cortical.
CNPIX10-Charles,imec0,Cg1,True,False,False,False,False,
CNPIX10-Charles,imec0,M2,True,False,False,True,False,
CNPIX10-Charles,imec0,PrL,True,False,False,False,False,
CNPIX10-Charles,imec0,VO,True,False,False,False,False,
CNPIX10-Charles,imec0,NAc,False,False,True,False,False,
CNPIX10-Charles,imec1,mPPC,True,False,False,True,False,May discard.
CNPIX10-Charles,imec1,LP,False,True,False,False,False,
CNPIX10-Charles,imec1,Po,False,True,False,False,False,
CNPIX10-Charles,imec1,VPM,False,True,False,False,False,
CNPIX11-Adrian,imec0,Cg1,True,False,False,False,False,
CNPIX11-Adrian,imec0,IL,True,False,False,False,False,
CNPIX11-Adrian,imec0,M2,True,False,False,False,False,
CNPIX11-Adrian,imec0,PrL,True,False,False,False,False,
CNPIX11-Adrian,imec0,NAc-sh,False,False,True,False,False,
CNPIX11-Adrian,imec1,mPPC,True,False,False,False,False,
CNPIX11-Adrian,imec1,LP,False,True,False,False,False,
CNPIX11-Adrian,imec1,Po,False,True,False,False,False,
CNPIX12-Santiago,imec0,M2,True,False,False,True,False,
CNPIX12-Santiago,imec0,VO,True,False,False,True,True,
CNPIX12-Santiago,imec1,mPPC,True,False,False,True,False,
CNPIX12-Santiago,imec1,LD,False,True,False,False,False,
CNPIX12-Santiago,imec1,Po,False,True,False,False,False,
CNPIX12-Santiago,imec1,VPM,False,True,False,False,False,
CNPIX13-Al,imec0,M2,True,False,False,False,False,
CNPIX13-Al,imec0,VO,True,False,False,False,False,
CNPIX14-Francis,imec1,V2,True,False,False,True,False,
CNPIX14-Francis,imec1,LP,False,True,False,False,False,
CNPIX14-Francis,imec1,Po,False,True,False,False,False,
CNPIX15-Claude,imec0,M2,True,False,False,False,False,
CNPIX15-Claude,imec0,CPu,False,False,True,False,False,
CNPIX15-Claude,imec0,NAc-c,False,False,True,False,False,
CNPIX15-Claude,imec0,Str,False,False,True,False,False,
CNPIX15-Claude,imec1,V1,True,False,False,False,False,Not marked as laminar because of low SNR in deep layers.
CNPIX15-Claude,imec1,DLG,False,True,False,False,False,
CNPIX15-Claude,imec1,MG,False,True,False,False,False,
CNPIX15-Claude,imec1,CA3,False,False,False,False,False,
CNPIX16-Walter,imec0,M1,True,False,False,True,False,
CNPIX16-Walter,imec0,CPu,False,False,True,False,False,
CNPIX16-Walter,imec0,NAc-c,False,False,True,False,False,
CNPIX16-Walter,imec0,NAc-sh,False,False,True,False,False,
CNPIX17-Hans,imec0,M1,True,False,False,True,False,
CNPIX17-Hans,imec0,CPu,False,False,True,False,False,
CNPIX17-Hans,imec0,NAc-c,False,False,True,False,False,
CNPIX17-Hans,imec0,NAc-sh,False,False,True,False,False,
CNPIX17-Hans,imec1,V2,True,False,False,False,False,
CNPIX17-Hans,imec1,LP,False,True,False,False,False,
CNPIX17-Hans,imec1,Po,False,True,False,False,False,
CNPIX18-Pier,imec0,V2,True,False,False,False,False,
CNPIX18-Pier,imec0,CL,False,True,False,False,False,
CNPIX18-Pier,imec0,LP,False,True,False,False,False,
CNPIX18-Pier,imec0,PCN,False,True,False,False,False,
CNPIX18-Pier,imec0,Po,False,True,False,False,False,
CNPIX18-Pier,imec0,VM,False,True,False,False,False,
CNPIX18-Pier,imec0,VPN,False,True,False,False,False,
CNPIX18-Pier,imec1,V1,True,False,False,True,False,
CNPIX18-Pier,imec1,DG,False,False,False,False,False,
CNPIX18-Pier,imec1,SUB,False,False,False,False,False,
CNPIX19-Otto,imec0,V2,True,False,False,True,False,
CNPIX19-Otto,imec0,LP,False,True,False,False,False,
CNPIX19-Otto,imec0,Po,False,True,False,False,False,
CNPIX19-Otto,imec0,VM,False,True,False,False,False,
CNPIX19-Otto,imec0,VPM,False,True,False,False,False,
CNPIX20-Ernst,imec0,V2,True,False,False,False,False,
CNPIX20-Ernst,imec0,CL,False,True,False,False,False,
CNPIX20-Ernst,imec0,LP,False,True,False,False,False,
CNPIX20-Ernst,imec0,Po,False,True,False,False,False,
CNPIX20-Ernst,imec0,VM,False,True,False,False,False,
CNPIX20-Ernst,imec0,VPM,False,True,False,False,False,
CNPIX20-Ernst,imec1,HR,False,False,False,False,False,
