subject,probe,structure_acronym,nrem_quantile_threshold,wake_quantile_threshold,include,notes,quality_tier
CNPIX2-Segundo,imec0,PPC,0.15,0.015,True,LQ/MEX,mid_to_low
CNPIX3-Valentino,imec0,mPPC,0.15,0.01,False,EX/EX,probably_exclude
CNPIX4-Doppio,imec0,mPPC,,,False,EX/EX,definitely_exclude
CNPIX4-Doppio,imec1,M2,0.18,0.016,True,,good
CNPIX4-Doppio,imec1,MO,0.17,0.0165,True,,good
CNPIX4-Doppio,imec1,PrL,0.17,0.02,True,,good
CNPIX5-Alessandro,imec0,PPC,0.25,0.01,False,PEX/PEX; No CLAS,probably_exclude
CNPIX6-Eugene,imec0,PPC,0.175,0.02,True,LQ/MEX,mid_to_low
CNPIX7-Giuseppe,imec0,M2,0.26,0.032,True,,good
CNPIX7-Giuseppe,imec0,PIR,0.22,0.026,True,,good
CNPIX7-Giuseppe,imec0,VO,0.15,0.015,True,,good
CNPIX7-Giuseppe,imec1,RSG,0.3,0.01,True,,excellent
CNPIX8-Allan,imec0,Cg1,0.08,0.006,True,,good
CNPIX8-Allan,imec0,IL,0.085,0.018,True,,good
CNPIX8-Allan,imec0,M2,0.1,0.006,True,,good
CNPIX8-Allan,imec0,PrL,0.08,0.008,True,,good
CNPIX9-Luigi,imec0,PPC,0.16,0.009,True,,good
CNPIX10-Charles,imec0,CLA,0.105,0.006,True,,good
CNPIX10-Charles,imec0,Cg1,,,False,EX/EX,definitely_exclude
CNPIX10-Charles,imec0,M2,0.1,0.006,True,,good
CNPIX10-Charles,imec0,PrL,,,False,EX/EX,definitely_exclude
CNPIX10-Charles,imec0,VO,,,False,EX/EX,definitely_exclude
CNPIX10-Charles,imec1,mPPC,0.12,0.0195,True,,mid_to_low
CNPIX11-Adrian,imec0,Cg1,0.12,0.005,True,,good
CNPIX11-Adrian,imec0,IL,,,False,EX/EX,definitely_exclude
CNPIX11-Adrian,imec0,M2,,,False,EX/EX,definitely_exclude
CNPIX11-Adrian,imec0,PrL,,,False,EX/EX,definitely_exclude
CNPIX11-Adrian,imec1,mPPC,0.15,0.001,True,,good
CNPIX12-Santiago,imec0,M2,0.12,0.005,True,,good
CNPIX12-Santiago,imec0,VO,0.2,0.005,True,,good
CNPIX12-Santiago,imec1,mPPC,0.12,0.005,True,,good
CNPIX13-Al,imec0,M2,,,False,EX/EX,definitely_exclude
CNPIX13-Al,imec0,VO,,,False,EX/EX,definitely_exclude
CNPIX14-Francis,imec1,V2,0.1,0.003,True,MEX/MEX,maybe_exclude
CNPIX15-Claude,imec0,M2,0.15,0.003,True,LQ/LQ,mid_to_low
CNPIX15-Claude,imec1,V1,0.15,0.003,False,PEX/PEX,probably_exclude
CNPIX16-Walter,imec0,M1,0.09,0.002,True,,very_good
CNPIX17-Hans,imec0,M1,0.09,0.005,True,,good
CNPIX17-Hans,imec1,V2,0.1,0.005,True,MEX/MEX,maybe_exclude
CNPIX18-Pier,imec0,V2,0.1,0.015,True,MEX/MEX,maybe_exclude
CNPIX18-Pier,imec1,V1,0.2,0.01,False,EX/EX,probably_exclude
CNPIX19-Otto,imec0,V2,0.1,0.005,True,LQ/LQ,mid_to_low
CNPIX20-Ernst,imec0,V2,,,False,EX/EX,definitely_exclude
