subject,probe,structure_acronym,nrem_quantile_threshold,wake_quantile_threshold,notes
CNPIX2-Segundo,imec0,PPC,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX3-Valentino,imec0,mPPC,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX4-Doppio,imec0,mPPC,0.2,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX4-Doppio,imec1,M2,0.15,0.0075,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX4-Doppio,imec1,MO,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX4-Doppio,imec1,PrL,0.15,0.015,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX5-Alessandro,imec0,PPC,0.3,0.005,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX6-Eugene,imec0,PPC,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX7-Giuseppe,imec0,M2,0.175,0.015,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX7-Giuseppe,imec0,PIR,0.2,0.025,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX7-Giuseppe,imec0,VO,0.2,0.015,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX7-Giuseppe,imec1,RSG,0.275,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX8-Allan,imec0,Cg1,0.15,0.0075,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX8-Allan,imec0,IL,0.1,0.0125,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX8-Allan,imec0,M2,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX8-Allan,imec0,PrL,0.1,0.005,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX9-Luigi,imec0,PPC,0.25,0.02,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX10-Charles,imec0,CLA,0.2,0.02,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX10-Charles,imec0,Cg1,0.1,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX10-Charles,imec0,M2,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX10-Charles,imec0,PrL,,,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX10-Charles,imec0,VO,,,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX10-Charles,imec1,mPPC,0.175,0.0075,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX11-Adrian,imec0,Cg1,0.125,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX11-Adrian,imec0,IL,,,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX11-Adrian,imec0,M2,0.2,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX11-Adrian,imec0,PrL,0.05,0.0075,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX11-Adrian,imec1,mPPC,0.175,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX12-Santiago,imec0,M2,0.2,0.001,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX12-Santiago,imec0,VO,0.3,0.0035,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX12-Santiago,imec1,mPPC,0.25,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX13-Al,imec0,M2,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX13-Al,imec0,VO,,,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX14-Francis,imec1,V2,0.175,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX15-Claude,imec0,M2,0.25,0.0125,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX15-Claude,imec1,V1,0.25,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX16-Walter,imec0,M1,0.225,0.005,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX17-Hans,imec0,M1,0.25,0.0075,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX17-Hans,imec1,V2,0.25,0.015,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX18-Pier,imec0,V2,0.15,0.01,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX18-Pier,imec1,V1,0.15,0.0125,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX19-Otto,imec0,V2,0.15,0.0075,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
CNPIX20-Ernst,imec0,V2,,,"frozen per-condition threshold (b4d35b1, 2026-03-14; used by Apr-10 per-condition detection)"
