subject,probe,structure_acronym,nrem_quantile_threshold,wake_quantile_threshold,include,notes
CNPIX2-Segundo,imec0,PPC,0.15,0.01,True,
CNPIX2-Segundo,imec0,LP,0.02365,,True,Why does this not have an NOD threshold?
CNPIX2-Segundo,imec0,Po,0.01931,7.5e-05,True,
CNPIX2-Segundo,imec0,VPM,0.041,7.5e-05,True,
CNPIX3-Valentino,imec0,mPPC,0.15,0.01,False,
CNPIX3-Valentino,imec0,LP,0.01,0.00015,True,
CNPIX3-Valentino,imec0,Po,0.04634,0.00015,True,
CNPIX3-Valentino,imec0,VPM,0.0102,,True,Why does this not have an NOD threshold?
CNPIX4-Doppio,imec0,mPPC,0.2,0.01,False,
CNPIX4-Doppio,imec0,LP,0.02993,0.00025,True,
CNPIX4-Doppio,imec0,Po,0.01836,0.0005,True,
CNPIX4-Doppio,imec0,VPM,0.03517,0.0025,True,
CNPIX4-Doppio,imec1,M2,0.15,0.0075,True,
CNPIX4-Doppio,imec1,MO,0.15,0.01,True,
CNPIX4-Doppio,imec1,PrL,0.15,0.015,True,
CNPIX5-Alessandro,imec0,PPC,0.3,0.005,True,
CNPIX5-Alessandro,imec0,LP,0.01814,7.5e-05,True,
CNPIX5-Alessandro,imec0,Po,0.01465,0.00015,True,
CNPIX5-Alessandro,imec0,VPM,0.01221,0.0005,True,
CNPIX6-Eugene,imec0,PPC,0.15,0.01,True,
CNPIX6-Eugene,imec0,LP,0.02994,0.00025,True,
CNPIX6-Eugene,imec0,Po,0.02289,0.00025,True,
CNPIX6-Eugene,imec0,VPM,0.01866,0.00025,True,
CNPIX6-Eugene,imec1,EC,0.25,0.025,False,
CNPIX7-Giuseppe,imec0,M2,0.175,0.015,True,Not marked as laminar because of non-normal insertion angle.
CNPIX7-Giuseppe,imec0,PIR,0.2,0.025,True,
CNPIX7-Giuseppe,imec0,VO,0.2,0.015,True,
CNPIX7-Giuseppe,imec1,RSG,0.275,0.01,True,
CNPIX8-Allan,imec0,Cg1,0.15,0.0075,True,
CNPIX8-Allan,imec0,IL,0.1,0.0125,True,
CNPIX8-Allan,imec0,M2,0.15,0.01,True,
CNPIX8-Allan,imec0,PrL,0.1,0.005,True,
CNPIX9-Luigi,imec0,PPC,0.25,0.02,True,
CNPIX9-Luigi,imec0,CA,,,False,Is this just excluded becuase it's hippocampal?
CNPIX9-Luigi,imec0,DLG,0.00856,0.00025,True,
CNPIX9-Luigi,imec0,MG,0.01643,7.5e-05,True,
CNPIX9-Luigi,imec0,PIL,,,False,
CNPIX10-Charles,imec0,CLA,0.2,0.02,True,May classify as non-cortical.
CNPIX10-Charles,imec0,Cg1,0.1,0.01,False,
CNPIX10-Charles,imec0,M2,0.15,0.01,True,
CNPIX10-Charles,imec0,PrL,,,False,
CNPIX10-Charles,imec0,VO,,,False,
CNPIX10-Charles,imec0,NAc,0.15,0.03,False,
CNPIX10-Charles,imec1,mPPC,0.175,0.0075,True,May discard.
CNPIX10-Charles,imec1,LP,0.05998,0.0005,True,
CNPIX10-Charles,imec1,Po,0.01509,0.0015,True,
CNPIX10-Charles,imec1,VPM,0.009567,0.0025,True,
CNPIX11-Adrian,imec0,Cg1,0.125,0.01,True,
CNPIX11-Adrian,imec0,IL,,,False,
CNPIX11-Adrian,imec0,M2,0.2,0.01,False,
CNPIX11-Adrian,imec0,PrL,0.05,0.0075,False,
CNPIX11-Adrian,imec0,NAc-sh,0.005,0.0005,False,
CNPIX11-Adrian,imec1,mPPC,0.175,0.01,True,
CNPIX11-Adrian,imec1,LP,0.012,0.00015,True,
CNPIX11-Adrian,imec1,Po,0.01927,0.00025,True,
CNPIX12-Santiago,imec0,M2,0.2,0.001,True,
CNPIX12-Santiago,imec0,VO,0.3,0.0035,True,
CNPIX12-Santiago,imec1,mPPC,0.25,0.01,True,
CNPIX12-Santiago,imec1,LD,0.05722,5e-05,True,
CNPIX12-Santiago,imec1,Po,0.05612,0.00025,True,
CNPIX12-Santiago,imec1,VPM,0.009,0.00075,True,
CNPIX13-Al,imec0,M2,0.15,0.01,False,
CNPIX13-Al,imec0,VO,,,False,
CNPIX14-Francis,imec1,V2,0.175,0.01,True,
CNPIX14-Francis,imec1,LP,0.0283,7.5e-05,True,
