subject,probe,structure_acronym,include,notes
CNPIX2-Segundo,imec0,PPC,True,
CNPIX2-Segundo,imec0,LP,True,
CNPIX2-Segundo,imec0,Po,True,
CNPIX2-Segundo,imec0,VPM,True,
CNPIX3-Valentino,imec0,mPPC,False,
CNPIX3-Valentino,imec0,LP,True,
CNPIX3-Valentino,imec0,Po,True,
CNPIX3-Valentino,imec0,VPM,True,
CNPIX4-Doppio,imec0,mPPC,False,
CNPIX4-Doppio,imec0,LP,True,
CNPIX4-Doppio,imec0,Po,True,
CNPIX4-Doppio,imec0,VPM,True,
CNPIX4-Doppio,imec1,M2,True,
CNPIX4-Doppio,imec1,MO,True,
CNPIX4-Doppio,imec1,PrL,True,
CNPIX5-Alessandro,imec0,PPC,True,
CNPIX5-Alessandro,imec0,LP,True,
CNPIX5-Alessandro,imec0,Po,True,
CNPIX5-Alessandro,imec0,VPM,True,
CNPIX6-Eugene,imec0,PPC,True,
CNPIX6-Eugene,imec0,LP,True,
CNPIX6-Eugene,imec0,Po,True,
CNPIX6-Eugene,imec0,VPM,True,
CNPIX6-Eugene,imec1,EC,False,
CNPIX7-Giuseppe,imec0,M2,True,Not marked as laminar because of non-normal insertion angle.
CNPIX7-Giuseppe,imec0,PIR,True,
CNPIX7-Giuseppe,imec0,VO,True,
CNPIX7-Giuseppe,imec1,RSG,True,
CNPIX8-Allan,imec0,Cg1,True,
CNPIX8-Allan,imec0,IL,True,
CNPIX8-Allan,imec0,M2,True,
CNPIX8-Allan,imec0,PrL,True,
CNPIX9-Luigi,imec0,PPC,True,
CNPIX9-Luigi,imec0,CA,False,Is this just excluded becuase it's hippocampal?
CNPIX9-Luigi,imec0,DLG,True,
CNPIX9-Luigi,imec0,MG,True,
CNPIX9-Luigi,imec0,PIL,False,
CNPIX10-Charles,imec0,CLA,True,May classify as non-cortical.
CNPIX10-Charles,imec0,Cg1,False,
CNPIX10-Charles,imec0,M2,True,
CNPIX10-Charles,imec0,PrL,False,
CNPIX10-Charles,imec0,VO,False,
CNPIX10-Charles,imec0,NAc,False,
CNPIX10-Charles,imec1,mPPC,True,May discard.
CNPIX10-Charles,imec1,LP,True,
CNPIX10-Charles,imec1,Po,True,
CNPIX10-Charles,imec1,VPM,True,
CNPIX11-Adrian,imec0,Cg1,True,
CNPIX11-Adrian,imec0,IL,False,
CNPIX11-Adrian,imec0,M2,False,
CNPIX11-Adrian,imec0,PrL,False,
CNPIX11-Adrian,imec0,NAc-sh,False,
CNPIX11-Adrian,imec1,mPPC,True,
CNPIX11-Adrian,imec1,LP,True,
CNPIX11-Adrian,imec1,Po,True,
CNPIX12-Santiago,imec0,M2,True,
CNPIX12-Santiago,imec0,VO,True,
CNPIX12-Santiago,imec1,mPPC,True,
CNPIX12-Santiago,imec1,LD,True,
CNPIX12-Santiago,imec1,Po,True,
CNPIX12-Santiago,imec1,VPM,True,
CNPIX13-Al,imec0,M2,False,
CNPIX13-Al,imec0,VO,False,
CNPIX14-Francis,imec1,V2,True,
CNPIX14-Francis,imec1,LP,True,
CNPIX14-Francis,imec1,Po,True,
CNPIX15-Claude,imec0,M2,True,
CNPIX15-Claude,imec0,CPu,False,
CNPIX15-Claude,imec0,NAc-c,False,
CNPIX15-Claude,imec0,Str,False,
CNPIX15-Claude,imec1,V1,True,Not marked as laminar because of low SNR in deep layers.
CNPIX15-Claude,imec1,DLG,True,
CNPIX15-Claude,imec1,MG,True,
CNPIX15-Claude,imec1,CA3,False,
CNPIX16-Walter,imec0,M1,True,
CNPIX16-Walter,imec0,CPu,False,
CNPIX16-Walter,imec0,NAc-c,False,
CNPIX16-Walter,imec0,NAc-sh,False,
CNPIX17-Hans,imec0,M1,True,
CNPIX17-Hans,imec0,CPu,False,
CNPIX17-Hans,imec0,NAc-c,False,
CNPIX17-Hans,imec0,NAc-sh,False,
CNPIX17-Hans,imec1,V2,True,
CNPIX17-Hans,imec1,LP,True,
CNPIX17-Hans,imec1,Po,True,
CNPIX18-Pier,imec0,V2,True,
CNPIX18-Pier,imec0,CL,False,
CNPIX18-Pier,imec0,LP,False,
CNPIX18-Pier,imec0,PCN,False,
CNPIX18-Pier,imec0,Po,False,
CNPIX18-Pier,imec0,VM,False,
CNPIX18-Pier,imec0,VPN,False,
CNPIX18-Pier,imec1,V1,True,
CNPIX18-Pier,imec1,DG,False,
CNPIX18-Pier,imec1,SUB,False,
CNPIX19-Otto,imec0,V2,True,
CNPIX19-Otto,imec0,LP,True,
CNPIX19-Otto,imec0,Po,True,
CNPIX19-Otto,imec0,VM,True,
CNPIX19-Otto,imec0,VPM,True,
CNPIX20-Ernst,imec0,V2,False,
CNPIX20-Ernst,imec0,CL,True,
CNPIX20-Ernst,imec0,LP,True,
CNPIX20-Ernst,imec0,Po,True,
CNPIX20-Ernst,imec0,VM,False,
CNPIX20-Ernst,imec0,VPM,True,
CNPIX20-Ernst,imec1,HR,False,
